1  937.681  2.000  INDEF  INDEF
536  359.525  230.239  15.658  0.028
537  1138.000  231.000  17.553  0.107
538  52.507  231.000  15.356  0.021
539  323.000  231.659  17.312  0.111
540  1242.790  230.768  16.149  0.036
541  1319.346  230.789  14.069  0.008
542  565.000  231.513  12.195  0.003
543  546.121  233.000  12.533  0.004
544  1369.403  233.000  14.849  0.017
545  531.000  232.000  13.757  0.009
546  582.000  233.800  15.876  0.037
547  1004.000  233.105  15.974  0.033
548  1050.249  234.656  13.657  0.007
549  1541.231  235.000  18.663  0.334
550  89.000  235.961  18.372  0.239
551  1492.251  237.000  15.189  0.017
552  1807.840  237.580  14.579  0.012
553  1102.522  238.000  14.878  0.014
554  1350.784  238.000  16.537  0.060
555  211.000  238.828  17.323  0.094
556  1227.000  238.224  15.413  0.021
557  1231.000  238.899  15.396  0.020
558  23.933  240.978  13.040  0.005
559  674.835  241.618  17.428  0.103
560  1809.172  240.058  14.622  0.013
561  1828.389  241.012  16.522  0.046
562  1038.000  242.235  15.828  0.034
563  196.000  242.458  16.412  0.045
564  1694.506  243.000  15.069  0.016
565  1676.000  244.000  15.753  0.032
566  1873.602  244.418  16.713  0.064
567  742.000  245.381  13.997  0.008
568  1379.543  245.214  11.661  0.002
569  1451.329  244.561  15.750  0.033
570  1466.872  245.000  15.084  0.018
571  1792.875  245.473  14.909  0.014
572  1214.046  246.000  16.915  0.074
573  1352.377  246.104  15.067  0.018
574  308.628  246.714  15.700  0.030
575  792.250  247.000  15.622  0.023
576  818.947  247.000  16.708  0.054
577  865.000  246.515  13.479  0.006
578  1916.758  247.000  14.860  0.016
579  1392.000  247.295  14.634  0.016
580  1750.676  248.515  13.749  0.008
581  497.287  249.000  15.683  0.026
582  946.557  249.000  17.295  0.089
583  1189.389  248.827  14.426  0.010
584  1684.722  249.408  12.683  0.004
585  1784.458  249.759  16.739  0.070
586  268.551  250.284  14.422  0.011
587  102.000  251.000  15.204  0.017
588  1759.000  251.419  12.861  0.005
589  164.647  252.651  15.733  0.025
590  751.000  252.000  15.202  0.017
591  1627.000  253.000  14.109  0.009
592  1896.729  252.582  10.400  0.001
593  287.000  253.920  11.174  0.002
594  814.000  253.768  16.812  0.060
595  336.595  255.000  14.066  0.009
596  1538.812  254.447  15.793  0.026
597  14.882  256.000  13.090  0.005
598  2014.444  256.000  14.655  0.012
599  244.523  257.000  17.246  0.084
600  357.000  257.895  15.899  0.035
601  652.000  257.000  16.411  0.041
602  1422.000  256.576  15.121  0.017
603  430.609  258.000  16.591  0.047
604  676.465  258.000  15.894  0.030
605  977.000  258.530  15.978  0.036
606  1275.000  258.221  14.709  0.012
607  1998.984  258.090  14.746  0.014
608  605.000  258.806  13.948  0.008
609  845.828  259.000  15.809  0.031
610  1283.787  257.681  16.056  0.033
611  1485.977  259.089  15.451  0.021
612  883.291  260.000  15.473  0.023
613  1040.669  260.000  13.038  0.005
614  548.000  261.007  16.930  0.072
615  1322.000  261.000  14.890  0.013
616  1435.000  260.425  17.237  0.117
617  361.675  262.000  15.352  0.023
618  693.000  262.000  16.388  0.042
619  915.000  262.835  12.137  0.003
620  1133.294  263.000  15.935  0.029
621  1980.505  264.000  16.497  0.050
622  502.000  265.238  16.795  0.064
623  999.171  267.000  17.118  0.090
624  1078.762  265.000  16.873  0.059
625  1363.000  267.000  16.363  0.048
626  1919.608  267.782  16.718  0.078
627  864.479  267.231  16.567  0.061
628  986.710  268.196  14.516  0.012
629  1129.249  269.000  15.191  0.016
630  145.000  270.839  16.961  0.064
631  901.000  270.000  15.555  0.027
632  913.000  263.000  12.169  0.003
633  1628.000  270.194  16.209  0.037
634  1494.000  271.000  16.135  0.035
635  1912.067  271.000  15.862  0.035
636  1370.000  272.000  16.764  0.065
637  2.053  273.000  INDEF  INDEF
638  63.477  274.633  14.882  0.015
639  349.905  273.306  16.601  0.060
640  940.000  274.000  17.095  0.092
641  295.460  275.589  14.908  0.018
642  1137.859  275.000  17.230  0.089
643  1288.725  275.000  17.828  0.170
644  1441.019  276.771  12.383  0.003
645  1585.000  277.000  14.597  0.011
646  554.825  278.000  15.683  0.024
647  761.314  278.255  16.068  0.034
648  1033.930  278.000  15.561  0.025
649  1249.886  278.807  17.008  0.067
650  1379.000  280.781  17.179  0.091
651  105.050  280.010  15.858  0.027
652  292.339  280.287  14.472  0.014
653  20.022  281.000  16.857  0.064
654  50.250  281.319  12.852  0.004
655  284.000  281.547  13.174  0.006
656  594.000  281.574  16.083  0.034
657  360.000  282.000  17.056  0.081
658  1208.020  282.289  14.144  0.009
659  1223.000  282.066  13.910  0.008
660  780.021  283.014  14.683  0.013
661  1398.170  282.654  15.705  0.027
662  1523.897  283.297  12.584  0.004
663  1868.000  284.000  16.167  0.035
664  1829.000  284.101  11.474  0.002
665  1946.555  284.000  10.869  0.002
666  836.000  286.148  12.424  0.004
667  862.642  285.000  17.357  0.111
668  1467.380  285.639  16.191  0.039
669  106.869  287.509  14.872  0.013
670  64.000  288.000  14.645  0.013
671  884.000  288.288  14.794  0.014
672  1723.574  289.000  16.805  0.065
673  796.409  289.387  17.076  0.090
674  1278.866  289.000  13.843  0.007
675  711.000  289.115  15.767  0.028
676  1404.000  291.000  16.164  0.042
677  185.274  291.928  17.831  0.141
678  890.825  292.000  14.474  0.011
679  1004.836  292.544  14.711  0.015
680  266.000  294.654  16.300  0.061
681  999.528  297.046  14.282  0.010
682  1126.000  296.682  14.832  0.013
683  1280.314  295.096  14.518  0.012
684  1677.000  297.135  16.389  0.043
685  1709.000  297.000  14.090  0.009
686  1898.614  297.000  16.039  0.031
687  274.000  298.000  14.925  0.017
688  836.601  298.449  14.480  0.011
689  1615.756  298.583  14.899  0.014
690  284.000  299.000  15.082  0.019
691  670.000  298.552  14.455  0.010
692  704.309  299.000  15.056  0.016
693  1413.000  298.469  15.562  0.027
694  241.285  299.943  16.069  0.033
695  490.604  301.000  16.306  0.041
696  1153.552  299.620  16.135  0.035
697  1310.682  300.000  15.654  0.025
698  1589.000  300.539  16.164  0.038
699  1974.454  300.000  15.075  0.019
700  1477.335  301.000  17.018  0.077
701  236.000  301.374  16.108  0.034
702  1163.000  302.097  16.219  0.039
703  1289.414  302.553  13.418  0.006
704  720.532  304.739  15.839  0.028
705  792.739  303.737  14.563  0.011
706  1993.348  304.621  15.939  0.033
707  1333.485  304.706  16.658  0.053
708  1505.804  305.173  15.065  0.018
709  1680.000  305.042  16.275  0.043
710  489.000  307.099  16.628  0.053
711  1731.000  307.000  16.731  0.060
712  973.000  307.668  14.775  0.013
713  1013.784  307.676  13.384  0.006
714  1527.509  309.000  19.139  0.628
715  565.954  310.669  17.275  0.088
716  1179.012  309.661  16.175  0.036
717  2.593  311.000  INDEF  INDEF
718  130.752  310.984  16.159  0.032
719  910.826  312.000  14.757  0.013
720  1436.217  311.491  14.405  0.010
721  1468.571  311.544  16.223  0.043
722  265.000  312.111  17.245  0.118
723  1412.871  312.258  14.234  0.010
724  1691.000  312.000  15.590  0.025
725  1839.000  312.000  16.514  0.047
726  1444.475  313.704  15.031  0.016
727  422.175  314.325  15.615  0.023
728  642.000  314.395  17.301  0.094
729  1243.032  314.000  16.292  0.043
730  1253.000  314.000  14.168  0.009
731  1972.211  314.000  15.942  0.031
732  105.328  315.000  16.225  0.037
733  958.000  315.000  15.838  0.026
734  2037.616  315.007  17.681  0.133
735  906.000  317.038  13.510  0.006
736  1002.000  317.000  13.432  0.006
737  1412.397  317.000  14.183  0.010
738  1685.574  316.653  15.998  0.033
739  1552.000  318.000  18.583  0.273
740  368.000  319.471  15.667  0.023
741  452.000  319.000  16.461  0.046
742  1582.000  319.000  14.603  0.011
743  97.000  320.170  15.147  0.016
744  1633.820  320.000  13.067  0.005
745  1513.490  321.505  15.247  0.019
746  542.000  322.000  15.861  0.029
747  553.294  322.000  15.193  0.018
748  1162.604  322.000  15.552  0.022
749  1213.467  322.000  15.365  0.020
750  1992.000  321.337  16.477  0.047
751  434.000  323.000  16.748  0.062
